"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/04/03 3:30:57 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","Tổ hợp Toán Anh Văn","[24 - 27)","Khác","Xác suất ""an toàn""",""
"2026/04/03 3:31:03 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Thể dục","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","Mình ngại lắm / Không muốn trả lời","A00","[15 - 18)","Chỉ để xét tốt nghiệp THPT / Thi cho có","Xác suất ""an toàn""",""
"2026/04/03 4:06:41 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Tiếng Anh","[8.0 - 9.0)","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/04/03 4:16:02 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[8.0 - 9.0)","A01 và D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","mình mong đạt điểm cao trong dự tính để đậu nv1"
"2026/04/03 4:45:26 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích)","[8.0 - 9.0)",".","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 4:49:25 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[9.0 - 10.0]","Văn - Sử - Toán","Khác","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Đậu hay không "
"2026/04/03 5:07:18 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","DO1","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Thứ hạng ước tính",""
"2026/04/03 5:08:21 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Hóa học","Sinh học;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp","[9.0 - 10.0]","A00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 5:34:47 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Tiếng Anh","[7.0 - 8.0)","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm","Thứ hạng điểm của mình nằm trong khoảng top mấy của lớp/trường/..."
"2026/04/03 6:14:21 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Vật lý","[6.0 - 7.0)","A01","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","muốn so sánh điểm của bạn bè một cách ẩn danh"
"2026/04/03 6:26:20 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","toán văn anh","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","đậu đại học"
"2026/04/03 6:27:04 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Vật lý","[8.0 - 9.0)","toán văn anh","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","đậu đại học"
"2026/04/03 6:34:19 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Mình ngại lắm / Không muốn trả lời","Địa lý ","Khác","Khác","Xác suất ""an toàn""","muốn trên trung bình là được "
"2026/04/03 6:37:00 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","Mình ngại lắm / Không muốn trả lời","tổ hợp tự nhiên","Khác","Khác","Vị thế tương đối","ko"
"2026/04/03 6:37:31 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Lịch sử;Địa lý","Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","[6.0 - 7.0)","C00","Khác","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","Muốn biết có thuộc Top không"
"2026/04/03 7:27:20 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Sinh học","Toán (Đại số / Giải tích)","[7.0 - 8.0)","Toán - Hoá - Sinh","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp","Xem bản thân có đủ điều kiện để đạt được nguyện vọng hay không."
"2026/04/03 8:27:59 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Vật lý","[8.0 - 9.0)","Toán Lí Hoá","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/03 8:29:19 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Tiếng Anh;Vật lý","Mình ngại lắm / Không muốn trả lời","Toán Lí Hoá","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","So sánh tổ hợp",""
"2026/04/03 8:32:03 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","[6.0 - 7.0)","Hav shzvz","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";So sánh tổ hợp","Shbsbaah"
"2026/04/03 9:27:40 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","[7.0 - 8.0)","toán văn anh","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","không"
"2026/04/03 9:43:41 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Vật lý;Hóa học","Ngữ văn;Tiếng Anh;Sinh học","[8.0 - 9.0)","ko","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 9:44:18 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Ngữ văn;Hóa học;Sinh học","[7.0 - 8.0)","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 9:45:14 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Toán (Đại số / Giải tích)","[8.0 - 9.0)","Toán lý hoá","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm",""
"2026/04/03 9:46:22 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Hóa học;Sinh học;Lịch sử","[7.0 - 8.0)","A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 9:48:29 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","[7.0 - 8.0)","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 9:49:22 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Tiếng Anh","[8.0 - 9.0)","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Muốn vào được trường mong muốn là đủ
"
"2026/04/03 9:51:43 CH GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","[6.0 - 7.0)","A00","[18 - 21)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Thứ hạng ước tính","Muốn đậu visa Du Học Úc🩷"
"2026/04/03 9:53:06 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","Tiếng Anh;Vật lý;Tin học","Mình đang là học sinh lớp 10 nên chưa biết","Toán văn hoá sinh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 9:54:51 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Tin học","Mình đang là học sinh lớp 10 nên chưa biết","Chưa biết rõ","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/03 9:56:23 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Ngữ văn;Sinh học;Lịch sử;Địa lý","[9.0 - 10.0]","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính;So sánh tổ hợp",""
"2026/04/03 9:57:18 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","Toám - Văn - Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Đủ điểm vào trường Đại học mơ ước"
"2026/04/03 9:57:57 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn","Tiếng Anh;Vật lý","[7.0 - 8.0)","A00","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","So sánh tổ hợp","chứng minh bản thân mình đã làm được chưa"
"2026/04/03 9:59:16 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý;Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tin học","Mình ngại lắm / Không muốn trả lời","D01 A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn thuộc top 100 nha"
"2026/04/03 10:00:27 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh","Toán (Hình học);Hóa học;Sinh học","[9.0 - 10.0]","Toán - Hoá - Sinh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/03 10:01:47 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý;Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tin học","[8.0 - 9.0)","D01 A01","[24 - 27)","Khác","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn thuộc top 100 nha"
"2026/04/03 10:03:31 CH GMT+7","Lớp 10","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp","Công nghệ nông nghiệp","Mình ngại lắm / Không muốn trả lời","D01","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Biết mình ở vị trí top 100 TP hay không"
"2026/04/03 10:11:23 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Toán (Đại số / Giải tích)","[9.0 - 10.0]","Toán lý hóa ","[27 - 30]","Chỉ để xét tốt nghiệp THPT / Thi cho có","Vị thế tương đối",""
"2026/04/03 10:31:21 CH GMT+7","Lớp 10","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Lịch sử;Địa lý;Tin học","Vật lý;Hóa học;Sinh học;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","Mình đang là học sinh lớp 10 nên chưa biết","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính;Phân tích phổ điểm","không"
"2026/04/03 10:49:21 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;","Toán (Đại số / Giải tích);Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","D07","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/04/03 10:51:29 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh","Toán (Hình học);Vật lý","[8.0 - 9.0)","A01 và D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","muốn so sánh điểm với bạn bè một cách ẩn danh"
"2026/04/04 1:04:59 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý","Toán (Hình học);Vật lý","[7.0 - 8.0)","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","Không có "
"2026/04/04 3:53:08 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","A00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/04 10:43:44 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;","[7.0 - 8.0)","Văn, toán, sử anh hoặc văn, toán, sử, địa","[15 - 18)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/04 12:52:14 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Tin học","[7.0 - 8.0)","Tiếng anh, Văn,sử","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Ko biết
"
"2026/04/04 1:06:04 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","[6.0 - 7.0)","A01","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Phân tích phổ điểm","Không biết"
"2026/04/04 1:06:07 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Địa lý","Tiếng Anh","[8.0 - 9.0)","c04","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","có trong danh sách điểm cao ở trường"
"2026/04/04 2:04:55 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","[7.0 - 8.0)","D14","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính",""
"2026/04/05 4:42:14 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","Ngữ văn","[9.0 - 10.0]","Toán Hoá Sinh","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Thứ hạng ước tính",""
"2026/04/05 5:25:39 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Toán (Hình học);Ngữ văn","[8.0 - 9.0)","A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/05 6:26:05 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Toán (Đại số / Giải tích)","[8.0 - 9.0)","dạ toán hoá sinh khối b","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/05 6:43:44 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Hình học);Ngữ văn;Sinh học","[9.0 - 10.0]","D01, B08","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;So sánh tổ hợp","Muốn biết mình thuộc top mấy của tỉnh, muốn biết điểm của các bạn một cách ẩn danh"
"2026/04/05 6:50:35 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Ngữ văn;Hóa học;Sinh học","[8.0 - 9.0)","Khối A01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính",""
"2026/04/05 9:20:55 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử","Tiếng Anh","Mình ngại lắm / Không muốn trả lời","Văn Sử địa ","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính",""
"2026/04/06 6:51:57 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Hóa học;Sinh học","Tiếng Anh;Địa lý;GDKT&PL (Hoặc GDCD)","[9.0 - 10.0]","B00","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","So sánh tổ hợp","mình muốn thuộc top 10 của TPHCM"
"2026/04/12 10:58:42 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Toán (Hình học)","[7.0 - 8.0)","Toán Lý Anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";So sánh tổ hợp","So sánh điểm với bạn bè"
"2026/04/12 3:49:50 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích)","[7.0 - 8.0)","D07","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Đậu vào trường mình muốn "
